YEAR,ATXPY,ASCHF,ABOOK,ACPIU,ACPIM,AWAGE,ASCHCI,ASCHCL,ASCHEI,ASCHEL,AINTS,ADIVS,ACGNS,ASOCSEC,AUCOMP,AIPD,ABENOTHER,ABENMCARE,ABENMCAID,ABENSSI,ABENSNAP,ABENWIC,ABENHOUSING,ABENTANF,ABENVET
2046,1.036195437568704,1.0088354005354592,1.0303558863397175,1.02,1.014443,1.031558647688388,1.033942138994713,1.0339011132772515,1.029705,1.029722,1.0285981975402563,1.0349964459150447,1.034070973109462,1.036534854419115,1.029528,1.0429311298106536,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2047,1.0360141886664291,1.0087544358795182,1.0302731953709592,1.02,1.014443,1.031475858856819,1.0338591593832698,1.0338181369583503,1.029705,1.029722,1.0280639482593634,1.0345535931844414,1.0336285163687777,1.0366866769118337,1.029528,1.0423894360691572,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2048,1.0358724782429924,1.0086858213508867,1.0302031176186275,1.02,1.014443,1.031405698553821,1.0337888372549406,1.033747817620328,1.029705,1.029722,1.027677334145706,1.034195782553902,1.0332710256852389,1.0368062500632431,1.029528,1.0419974347071854,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2049,1.035760633998494,1.0086259081608078,1.0301419262320484,1.02,1.014443,1.0313444359435662,1.033727433014099,1.033686415815941,1.029705,1.029722,1.0274006833729605,1.0339036910841644,1.032979195397762,1.0369018889345931,1.029528,1.0417169289628896,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2050,1.035672225667153,1.0085725968967831,1.0300874785853225,1.02,1.014443,1.0312899233583896,1.0336727950004758,1.0336317799702956,1.029705,1.029722,1.027207451323815,1.0336637840442622,1.0327395028778636,1.0369790084663144,1.029528,1.0415210043347765,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2051,1.0356020910784773,1.0085250501135432,1.0300389189363484,1.02,1.014443,1.0312413047564781,1.033624064927424,1.033583051830801,1.029705,1.029722,1.0270743881821012,1.033464297796432,1.0325401950065853,1.0370417714898184,1.029528,1.0413860870336809,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2052,1.0355446280684701,1.008480535699338,1.0299934563302133,1.02,1.014443,1.0311957868332293,1.0335784426895296,1.033537431403148,1.029705,1.029722,1.0269843015474818,1.033295521421927,1.0323715695484874,1.0370921346417767,1.029528,1.041294745092922,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2053,1.035499175102832,1.008443057392719,1.0299551790955594,1.02,1.014443,1.031157464011839,1.0335400316657974,1.0334990219035245,1.029705,1.029722,1.026920031346689,1.0331492483804967,1.0322254273014404,1.037135181771757,1.029528,1.0412295793233473,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2054,1.0354626190344531,1.0084092498001613,1.029920652253412,1.02,1.014443,1.0311228937380588,1.033505382708649,1.0334643743212093,1.029705,1.029722,1.0268789457632113,1.0330234870131856,1.0320997783873904,1.0371711108388655,1.029528,1.041187921235575,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2055,1.0354342120297273,1.0083791943411515,1.0298899560951216,1.02,1.014443,1.0310921610293688,1.0334745792638445,1.0334335720986527,1.029705,1.029722,1.0268575213109454,1.0329169536407783,1.0319933402749615,1.0372013757107303,1.029528,1.041166198245723,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2056,1.0354113372762013,1.0083526397824056,1.0298628351617842,1.02,1.014443,1.0310650082955881,1.033447363845695,1.0334063577603816,1.029705,1.029722,1.026845652023327,1.0328229231544825,1.031899393868817,1.0372271510865365,1.029528,1.0411541635663157,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2057,1.0353923213624265,1.0083278369012063,1.0298375046163175,1.02,1.014443,1.031039645867292,1.0334219436988334,1.0333809386221644,1.029705,1.029722,1.0268422022500105,1.032740191354767,1.031816736046197,1.0372483868429436,1.029528,1.0411506657223655,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2058,1.0353783782007728,1.0083069423821263,1.029816163835708,1.02,1.014443,1.0310182810472903,1.0334005291809256,1.0333595249539618,1.029705,1.029722,1.0268458437785755,1.0326692842596406,1.0317458923547553,1.0372674963904966,1.029528,1.041154357993565,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2059,1.0353677369499377,1.0082883585801194,1.0297971841739668,1.02,1.014443,1.0309992783083008,1.0333814828865673,1.03334047941534,1.029705,1.029722,1.0268546967930727,1.0326082868432478,1.0316849494810136,1.0372842466583192,1.029528,1.0411633343697961,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2060,1.0353600602917103,1.0082724797037843,1.0297809662439754,1.02,1.014443,1.030983041972715,1.0333652088349687,1.0333242060094785,1.029705,1.029722,1.0268664423417142,1.0325555272680362,1.031632237082343,1.0372992268237076,1.029528,1.0411752435859938,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2061,1.0353545664427568,1.0082589413344694,1.029767138386037,1.02,1.014443,1.0309691990856016,1.033351333538245,1.0333103312633116,1.029705,1.029722,1.0268792789893435,1.032509247055047,1.0315859982521802,1.0373126905503192,1.029528,1.0411882591050243,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2062,1.0353516490603163,1.0082485820538438,1.0297565574094514,1.02,1.014443,1.0309586069083074,1.033340716447724,1.0332997145940652,1.029705,1.029722,1.0268925454461146,1.032469235101425,1.0315460220764348,1.0373255813033098,1.029528,1.0412017104223434,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2063,1.0353496034907255,1.008239176828157,1.029746950872146,1.02,1.014443,1.0309489902553395,1.0333310771555664,1.0332900756843846,1.029705,1.029722,1.0269063128778106,1.032434180318993,1.0315109986392774,1.0373367535027407,1.029528,1.0412156696953885,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2064,1.0353489255938508,1.008231341893277,1.0297389480230033,1.02,1.014443,1.0309409793244175,1.0333230472338126,1.0332820460812495,1.029705,1.029722,1.0269209611187087,1.0324045953153074,1.0314814400899013,1.0373467918105863,1.029528,1.0412305220512124,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2065,1.0353501781173375,1.008226258666795,1.0297337560266198,1.02,1.014443,1.0309357818080858,1.0333178375018197,1.0332768365559732,1.029705,1.029722,1.0269352912652037,1.0323798923305694,1.0314567591940709,1.0373569239001321,1.029528,1.0412450518801681,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2066,1.0353507202702572,1.0082205879918809,1.029727963908055,1.02,1.014443,1.0309299836991108,1.033312025701652,1.0332710249864114,1.029705,1.029722,1.0269486499705616,1.0323572127230445,1.0314340998661904,1.037365157067531,1.029528,1.0412585967315056,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2067,1.0353517145204632,1.0082159123081396,1.0297231870158408,1.02,1.014443,1.0309252036022971,1.0333072336548559,1.0332662331297586,1.029705,1.029722,1.0269611120736784,1.032337329228639,1.0314142341512018,1.0373726166582573,1.029528,1.0412712324869584,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2068,1.0353532565195545,1.0082123842652484,1.0297195833699868,1.02,1.014443,1.0309215963039597,1.0333036178100794,1.033262617428455,1.029705,1.029722,1.0269727820179433,1.0323203681438085,1.0313972882326288,1.0373797739758186,1.029528,1.0412830650452753,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2069,1.0353548308996179,1.0082092346028566,1.0297163663151374,1.02,1.014443,1.030918375823335,1.0333003897625022,1.0332593895089632,1.029705,1.029722,1.0269839046860514,1.0323058290226488,1.0313827621120562,1.0373861675242497,1.029528,1.0412943427014527,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2070,1.035356472748699,1.0082066919013646,1.029713768425276,1.02,1.014443,1.030915776432809,1.0332977837811717,1.0332567836310353,1.029705,1.029722,1.0269937619884961,1.0322927658515642,1.0313697106217938,1.0373920038738536,1.029528,1.041304337359814,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2071,1.0353584029692566,1.0082050426474298,1.0297120838389187,1.02,1.014443,1.0309140901233713,1.0332960934824964,1.0332550933994293,1.029705,1.029722,1.0270023798477428,1.0322811624871746,1.0313581176328972,1.0373977316093788,1.029528,1.0413130753040396,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2072,1.035360133714451,1.0082034839563148,1.0297104919245632,1.02,1.014443,1.030912496307444,1.0332944960004644,1.0332534959807838,1.029705,1.029722,1.0270102540164252,1.032270865698506,1.0313478300514078,1.0374029859366034,1.029528,1.041321059194795,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2073,1.035361713798197,1.0082019240132913,1.0297088987573546,1.02,1.014443,1.0309109011955482,1.033292897235368,1.0332518972791247,1.029705,1.029722,1.0270179425089803,1.0322622219675632,1.0313391940495138,1.0374076955576907,1.029528,1.0413288548221316,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2074,1.0353632151429732,1.00820034612486,1.0297072872564001,1.02,1.014443,1.0309092877374408,1.0332912800782592,1.0332502801861827,1.029705,1.029722,1.0270259836547355,1.0322557968338866,1.0313327746610612,1.0374120104288485,1.029528,1.0413370080166904,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
